,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FIVN11,Shoppings,"R$ 2,15",312.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 65.678.487,99","R$ 6,98","0,31",N/A,N/A,N/A,N/A,"56,00%",N/A,1
2,BZLI11,Títulos e Val. Mob.,"R$ 14,70",44041.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 431.076.817,02","R$ 10,70","1,37",N/A,N/A,N/A,N/A,N/A,N/A,0
3,XTED11,Lajes Corporativas,"R$ 6,02",691.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 27.305.951,24","R$ 13,89","0,43",N/A,N/A,N/A,N/A,"0,00%","100,00%",1
4,ALMI11,Lajes Corporativas,"R$ 901,01",13.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 249.632.973,43","R$ 2.245,37","0,40",N/A,N/A,N/A,N/A,"64,05%",N/A,1
5,PABY11,Híbrido,"R$ 8,50",126.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -9.870.075,03","R$ -13,01","-0,65",N/A,N/A,N/A,N/A,N/A,N/A,1
6,ORPD11,Títulos e Val. Mob.,"R$ 93,00",3.0,"R$ 1,38",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 43.611.089,33","R$ 150,38","0,62",N/A,N/A,N/A,N/A,N/A,N/A,0
7,FISC11,Lajes Corporativas,"R$ 165,00",200.0,"R$ 0,22","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 194.682.613,92","R$ 114,52","1,44",N/A,N/A,N/A,N/A,N/A,N/A,0
8,NSLU11,Hospital,"R$ 137,12",2970.0,"R$ 1,54","0,76%","2,26%","4,94%","9,49%","0,75%","0,82%","0,79%","0,76%","0,00%","0,76%","0,76%","R$ 238.028.433,66","R$ 207,92","0,66",N/A,N/A,N/A,N/A,"0,00%",N/A,1
9,ATSA11,Shoppings,"R$ 88,70",12.0,"R$ 0,25","0,18%","0,59%","1,30%","2,97%","0,20%","0,22%","0,25%","0,37%","0,74%","0,92%","1,10%","R$ 156.611.749,64","R$ 89,43","0,99",N/A,N/A,N/A,N/A,"21,90%",N/A,1
10,CXTL11,Logística,"R$ 306,00",10.0,"R$ 0,48","0,16%","0,67%","1,29%","0,00%","0,22%","0,22%","0,00%","0,42%","-6,12%","-5,97%","-5,73%","R$ 37.052.587,58","R$ 691,32","0,44",N/A,N/A,N/A,N/A,"61,00%",N/A,3
11,CXCI11,,"R$ 76,62",1221.0,"R$ 0,75","0,96%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,75%","-11,10%","-10,25%","-9,54%","R$ 200.991.074,86","R$ 97,68","0,78","0,72%","-0,07%","0,65%","0,96%",N/A,N/A,0
12,JSAF11,Títulos e Val. Mob.,"R$ 82,60",1518.0,"R$ 0,93","1,10%","3,30%","0,00%","0,00%","1,10%","0,00%","0,00%","5,48%","-1,05%","0,04%","8,06%","R$ 153.333.807,55","R$ 97,48","0,85","0,95%","-0,29%","0,66%","4,76%",N/A,N/A,0
13,HSLG11,Logística,"R$ 84,21",7411.0,"R$ 0,65","0,75%","2,17%","4,18%","8,00%","0,72%","0,70%","0,67%","3,58%","-3,10%","-2,37%","-0,64%","R$ 1.401.752.936,38","R$ 110,72","0,76","0,59%","-0,08%","0,50%","2,58%","1,10%",N/A,5
14,HSRE11,Híbrido,"R$ 100,00",3.0,"R$ 0,56","0,56%","1,68%","3,68%","7,08%","0,56%","0,61%","0,59%","2,80%","0,00%","0,56%","2,83%","R$ 827.352.123,56","R$ 97,13","1,03","0,58%","0,03%","0,61%","2,83%","0,00%",N/A,29
15,HTMX11,Hotel,"R$ 85,20",1004.0,"R$ 0,00","0,00%","0,80%","2,20%","5,41%","0,27%","0,37%","0,45%","0,80%","-28,14%","-28,14%","-32,26%","R$ 161.857.438,79","R$ 128,76","0,66",N/A,N/A,N/A,N/A,"65,00%",N/A,23
16,GSFI11,Shoppings,"R$ 4,43",13303.0,"R$ 0,00","0,03%","0,03%","0,03%","0,03%","0,01%","0,00%","0,00%","0,03%","0,00%","0,03%","0,03%","R$ 995.889.943,51","R$ 13,24","0,33",N/A,N/A,N/A,N/A,"10,30%",N/A,10
17,NEWU11,Lajes Corporativas,"R$ 32,10",27.0,"R$ 0,00","0,00%","0,00%","0,56%","16,63%","0,00%","0,09%","1,39%","0,61%","-4,04%","-4,04%","-31,62%","R$ 48.127.462,03","R$ 64,86","0,49",N/A,N/A,N/A,N/A,"63,20%",N/A,3
18,PRSV11,Lajes Corporativas,"R$ 104,00",1.0,"R$ 1,62","0,42%","1,53%","2,91%","5,95%","0,51%","0,48%","0,50%","4,46%","5,30%","5,74%","-11,25%","R$ 47.185.757,76","R$ 241,98","0,43",N/A,N/A,N/A,N/A,"40,90%",N/A,2
19,FAMB11B,Lajes Corporativas,"R$ 800,03",13.0,"R$ 9,16","0,56%","2,17%","4,78%","10,43%","0,72%","0,80%","0,87%","8,82%","-47,80%","-47,51%","-47,80%","R$ 325.344.682,76","R$ 3.104,43","0,26",N/A,N/A,N/A,N/A,"100,00%",N/A,1
20,FMOF11,Lajes Corporativas,"R$ 62,00",6.0,"R$ 0,64",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 62.419.181,77","R$ 122,87","0,50",N/A,N/A,N/A,N/A,"52,08%",N/A,1
21,HGRS11,Residencial,N/A,N/A,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 106.768.714,01","R$ 89,39",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
22,KNRE11,Residencial,"R$ 0,93",63024.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 22.807.147,50","R$ 1,23","0,76",N/A,N/A,N/A,N/A,N/A,N/A,0
23,RBDS11,Residencial,"R$ 3,78",132.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 3.157.024,21","R$ 24,95","0,15",N/A,N/A,N/A,N/A,N/A,N/A,0
24,WTSP11B,Híbrido,"R$ 37,60",17.0,"R$ 0,32","0,76%","2,57%","4,67%","6,85%","0,86%","0,78%","0,57%","0,76%","0,00%","0,76%","0,76%","R$ 79.910.289,95","R$ 80,51","0,47",N/A,N/A,N/A,N/A,N/A,N/A,0
