,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,APTO11,Híbrido,"R$ 10,45",22.0,"R$ 0,03","0,30%",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 9.494.846,65","R$ 9,59","1,09",N/A,N/A,N/A,N/A,N/A,N/A,0
2,FIVN11,Shoppings,"R$ 2,82",7256.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 64.505.673,54","R$ 6,85","0,41",N/A,N/A,N/A,N/A,"56,00%",N/A,1
3,BZLI11,Títulos e Val. Mob.,"R$ 14,70",44041.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 431.447.893,38","R$ 10,91","1,35",N/A,N/A,N/A,N/A,N/A,N/A,0
4,XTED11,Lajes Corporativas,"R$ 6,20",860.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 26.172.643,85","R$ 13,52","0,46",N/A,N/A,N/A,N/A,"0,00%","100,00%",1
5,ALMI11,Lajes Corporativas,"R$ 1.010,00",164.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 250.240.666,39","R$ 2.250,83","0,45",N/A,N/A,N/A,N/A,"68,15%",N/A,1
6,PABY11,Híbrido,"R$ 11,50",214.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -8.246.025,21","R$ -10,87","-1,06",N/A,N/A,N/A,N/A,N/A,N/A,1
7,ORPD11,Títulos e Val. Mob.,"R$ 129,72",1.0,"R$ 1,38",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 44.184.093,81","R$ 152,36","0,85",N/A,N/A,N/A,N/A,N/A,N/A,0
8,RBLG11,Logística,"R$ 87,20",34.0,"R$ 0,80","0,91%","2,64%","4,60%","0,00%","0,88%","0,77%","0,00%","5,99%","0,89%","1,81%","-14,15%","R$ 68.689.321,59","R$ 107,29","0,81",N/A,N/A,N/A,N/A,"0,00%",N/A,1
9,QAGR11,Outros,"R$ 51,20",12461.0,"R$ 0,39","0,77%","2,31%","4,53%","8,80%","0,77%","0,76%","0,73%","8,31%","3,02%","3,81%","0,70%","R$ 300.963.209,86","R$ 59,71","0,86",N/A,N/A,N/A,N/A,N/A,N/A,12
10,GGRC11,Logística,"R$ 111,50",12713.0,"R$ 0,82","0,72%","2,18%","4,24%","7,76%","0,73%","0,71%","0,65%","7,76%","7,83%","8,60%","-12,39%","R$ 1.039.797.046,13","R$ 134,02","0,83","0,60%","1,72%","2,33%","7,47%","0,00%","0,00%",15
11,CXRI11,Híbrido,"R$ 64,85",146.0,"R$ 0,55","0,80%","2,10%","3,94%","7,27%","0,70%","0,66%","0,61%","7,27%","0,59%","1,40%","-35,12%","R$ 129.745.982,69","R$ 82,34","0,79","0,55%","-5,40%","-4,88%","-10,04%",N/A,N/A,0
12,CRFF11,Títulos e Val. Mob.,"R$ 66,95",298.0,"R$ 0,51","0,75%","1,92%","3,62%","7,14%","0,64%","0,60%","0,60%","7,14%","1,37%","2,13%","-11,62%","R$ 56.197.336,69","R$ 81,44","0,82","0,49%","-5,29%","-4,83%","-9,72%",N/A,N/A,0
13,FATN11,Híbrido,"R$ 100,38",8.0,"R$ 0,79","0,80%","2,22%","4,28%","8,19%","0,74%","0,71%","0,68%","8,19%","-4,41%","-3,64%","6,71%","R$ 81.279.152,95","R$ 100,21","1,00","0,71%","0,02%","0,73%","-0,03%","0,00%",N/A,7
14,BIME11,,"R$ 9,15",1009.0,"R$ 0,10","1,05%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,05%","0,00%","1,05%","1,05%","R$ 55.547.088,26","R$ 9,50","0,96","0,23%","-4,98%","-4,76%","-4,76%",N/A,N/A,0
15,SCPF11,Shoppings,"R$ 7,99",190.0,"R$ 0,03","0,39%","0,74%","1,45%","3,03%","0,25%","0,24%","0,25%","2,19%","0,00%","0,39%","-17,29%","R$ 53.497.376,28","R$ 12,74","0,63","0,14%","0,20%","0,34%","1,70%","27,90%",N/A,1
16,FISC11,Lajes Corporativas,"R$ 165,00",200.0,"R$ 0,22","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 253.338.319,30","R$ 154,20","1,07","0,15%","-0,75%","-0,60%","0,16%",N/A,N/A,0
17,FLMA11,Híbrido,"R$ 119,40",533.0,"R$ 0,80","0,66%","1,51%","2,75%","4,84%","0,50%","0,46%","0,40%","4,84%","-2,31%","-1,66%","4.110,92%","R$ 215.226.362,30","R$ 155,89","0,77","0,30%","0,21%","0,52%","5.086,99%","6,00%",N/A,2
18,BREV11,Híbrido,"R$ 95,01",2.0,"R$ 0,54","0,57%","1,68%","3,19%","5,88%","0,56%","0,53%","0,49%","5,88%","1,43%","2,01%","-11,89%","R$ 101.663.227,02","R$ 105,11","0,90","0,53%","-0,01%","0,52%","4,48%","0,00%",N/A,12
19,BLMR11,Títulos e Val. Mob.,"R$ 7,40",84100.0,"R$ 0,08","1,05%","2,80%","5,32%","0,00%","0,93%","0,89%","0,00%","8,77%","5,79%","6,89%","-90,82%","R$ 208.637.330,82","R$ 8,17","0,91","0,80%","-4,77%","-4,01%","-90,78%",N/A,N/A,0
20,ONEF11,Lajes Corporativas,"R$ 135,02",498.0,"R$ 0,86","0,63%","1,68%","3,20%","5,96%","0,56%","0,53%","0,50%","0,63%","0,00%","0,63%","0,63%","R$ 159.055.327,75","R$ 174,59","0,77","0,42%","0,10%","0,52%","13,87%","0,00%",N/A,1
21,RCRB11,Lajes Corporativas,"R$ 124,77",7061.0,"R$ 0,55","0,42%","1,76%","3,59%","6,65%","0,59%","0,60%","0,55%","0,42%","0,00%","0,42%","0,42%","R$ 728.157.489,25","R$ 197,30","0,63","0,48%","1,61%","2,10%","3,49%","14,40%",N/A,10
22,MBRF11,Outros,"R$ 801,94",22.0,"R$ 9,50","1,19%","3,72%","6,42%","11,31%","1,24%","1,07%","0,94%","1,19%","0,00%","1,19%","1,19%","R$ 113.480.886,74","R$ 1.116,23","0,72","0,67%","0,18%","0,85%","5,15%","0,00%",N/A,2
23,VSLH11,Outros,"R$ 9,50",300462.0,"R$ 0,12","1,23%","3,75%","8,10%","0,00%","1,25%","1,35%","0,00%","13,32%","-1,51%","-0,30%","11,74%","R$ 290.951.478,80","R$ 9,81","0,97","1,08%","0,73%","1,82%","7,94%",N/A,N/A,0
24,HCTR11,Outros,"R$ 124,05",85513.0,"R$ 1,60","1,26%","3,88%","7,59%","15,70%","1,29%","1,27%","1,31%","15,70%","4,12%","5,44%","-4,54%","R$ 2.320.957.178,03","R$ 117,69","1,05","1,36%","0,79%","2,16%","12,90%",N/A,N/A,0
