,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
25,DEVA11,Títulos e Val. Mob.,"R$ 101,01",93417.0,"R$ 1,35","1,31%","4,09%","7,97%","15,00%","1,36%","1,33%","1,25%","15,00%","2,65%","4,00%","-16,99%","R$ 1.259.674.284,37","R$ 96,67","1,04","1,47%","0,91%","2,39%","11,54%",N/A,N/A,0
26,FAED11,Outros,"R$ 148,50",121.0,"R$ 1,22","0,83%","2,44%","4,69%","8,89%","0,81%","0,78%","0,74%","8,89%","-0,47%","0,36%","-18,57%","R$ 137.412.142,23","R$ 213,98","0,69","0,54%","0,00%","0,54%","4,55%","0,00%",N/A,3
27,MAXR11,Outros,"R$ 83,50",580.0,"R$ 0,70","0,85%","2,41%","5,73%","9,12%","0,80%","0,96%","0,76%","8,50%","-0,59%","0,26%","-95,25%","R$ 132.620.586,92","R$ 117,82","0,71",N/A,N/A,N/A,N/A,"11,20%",N/A,8
28,JRDM11,Shoppings,"R$ 68,62",4017.0,"R$ 0,52","0,75%","2,12%","2,88%","4,92%","0,71%","0,48%","0,41%","4,24%","14,17%","15,03%","13,34%","R$ 221.598.319,19","R$ 87,83","0,78",N/A,N/A,N/A,N/A,"3,20%",N/A,1
29,BRCR11,Híbrido,"R$ 70,00",26029.0,"R$ 0,50","0,70%","2,13%","3,97%","7,29%","0,71%","0,66%","0,61%","6,74%","3,05%","3,77%","-10,28%","R$ 2.828.515.163,30","R$ 106,18","0,66",N/A,N/A,N/A,N/A,"23,30%","15,00%",14
30,EQIN11,Títulos e Val. Mob.,"R$ 90,92",7451.0,"R$ 0,93","1,00%","3,50%","6,33%","11,67%","1,17%","1,05%","0,97%","11,67%","0,94%","1,95%","-0,91%","R$ 138.263.951,85","R$ 95,89","0,95","1,11%","1,97%","3,10%","13,01%",N/A,N/A,0
31,FEXC11,Títulos e Val. Mob.,"R$ 87,15",7584.0,"R$ 0,93","1,05%","3,10%","5,54%","10,72%","1,03%","0,92%","0,89%","10,72%","6,98%","8,10%","4,76%","R$ 576.006.211,86","R$ 94,37","0,92","0,97%","0,05%","1,03%","9,93%",N/A,N/A,0
32,BTCR11,Títulos e Val. Mob.,"R$ 91,42",4815.0,"R$ 0,91","0,98%","2,83%","5,24%","9,48%","0,94%","0,87%","0,79%","9,48%","2,06%","3,06%","14,61%","R$ 476.195.729,77","R$ 99,00","0,92","0,91%","0,77%","1,69%","9,06%",N/A,N/A,0
33,BMLC11,Lajes Corporativas,"R$ 89,97",1838.0,"R$ 0,94","1,04%","2,50%","4,39%","7,96%","0,83%","0,73%","0,66%","7,96%","2,27%","3,34%","2,04%","R$ 106.563.744,62","R$ 106,73","0,84","0,65%","-0,01%","0,64%","4,94%","0,00%",N/A,2
34,TORD11,Outros,"R$ 9,55",104176.0,"R$ 0,08","0,83%","2,41%","5,93%","11,26%","0,80%","0,99%","0,94%","11,26%","-1,22%","-0,41%","-9,70%","R$ 452.519.294,27","R$ 12,91","0,74","0,62%","-0,05%","0,57%","31,08%",N/A,N/A,0
35,SEQR11,Outros,"R$ 75,25",34.0,"R$ 0,63","0,83%","2,48%","5,04%","0,00%","0,83%","0,84%","0,00%","8,15%","4,85%","5,72%","-10,95%","R$ 168.628.334,33","R$ 104,83","0,72","0,60%","0,37%","0,97%","4,21%","0,00%",N/A,0
36,BCFF11,Títulos e Val. Mob.,"R$ 68,72",49436.0,"R$ 0,54","0,77%","2,22%","4,22%","7,82%","0,74%","0,70%","0,65%","7,82%","-0,44%","0,33%","-17,84%","R$ 1.932.209.076,88","R$ 76,72","0,90","0,65%","-2,36%","-1,73%","-0,85%",N/A,N/A,0
37,BLMG11,Logística,"R$ 93,00",2175.0,"R$ 0,90","0,96%","2,86%","5,62%","0,00%","0,95%","0,94%","0,00%","9,70%","-1,40%","-0,45%","-1,95%","R$ 369.462.477,79","R$ 96,96","0,96","0,93%","-2,40%","-1,50%","6,72%","0,00%","0,00%",4
38,DVFF11,Híbrido,"R$ 90,10",60.0,"R$ 0,70","0,73%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,59%","13,90%","14,74%","18,30%","R$ 103.014.517,94","R$ 93,57","0,96",N/A,N/A,N/A,N/A,N/A,N/A,0
39,CEOC11,Lajes Corporativas,"R$ 57,97",205.0,"R$ 0,43","0,73%","2,36%","4,49%","8,37%","0,79%","0,75%","0,70%","8,37%","4,70%","5,46%","-10,90%","R$ 156.336.111,14","R$ 86,10","0,67","0,54%","-0,08%","0,45%","3,72%","0,00%",N/A,1
40,MGFF11,Títulos e Val. Mob.,"R$ 65,20",12740.0,"R$ 0,56","0,85%","2,41%","4,58%","8,89%","0,80%","0,76%","0,74%","8,89%","2,86%","3,73%","-17,37%","R$ 670.102.751,59","R$ 74,04","0,88","0,68%","-3,32%","-2,66%","-9,98%",N/A,N/A,0
41,RBRL11,Logística,"R$ 94,99",5702.0,"R$ 0,85","0,91%","2,67%","4,76%","8,45%","0,89%","0,79%","0,70%","8,45%","6,30%","7,27%","-5,80%","R$ 711.004.292,61","R$ 106,33","0,89","0,75%","-0,27%","0,48%","6,83%","0,00%","0,00%",6
42,RBRP11,Outros,"R$ 69,54",35523.0,"R$ 0,46","0,65%","1,93%","3,63%","6,41%","0,64%","0,60%","0,53%","6,41%","-5,03%","-4,41%","-22,85%","R$ 1.007.350.492,52","R$ 82,71","0,84","0,56%","-1,38%","-0,83%","-0,37%","10,00%","5,00%",17
43,FLCR11,Títulos e Val. Mob.,"R$ 101,39",1408.0,"R$ 1,77","1,73%","4,67%","8,03%","0,00%","1,56%","1,34%","0,00%","8,03%","0,72%","2,46%","10,33%","R$ 50.105.816,93","R$ 100,21","1,01","1,60%","-0,16%","1,43%","5,89%",N/A,N/A,0
44,RECT11,Híbrido,"R$ 70,30",11571.0,"R$ 0,54","0,75%","2,37%","4,32%","8,84%","0,79%","0,72%","0,74%","8,84%","6,37%","7,17%","-17,99%","R$ 753.333.282,94","R$ 92,10","0,76","0,63%","-0,40%","0,22%","1,90%","16,60%",N/A,8
45,RELG11,Híbrido,"R$ 80,33",1505.0,"R$ 0,81","1,00%","3,16%","5,73%","10,17%","1,05%","0,96%","0,85%","10,17%","10,88%","12,00%","-8,82%","R$ 127.381.730,29","R$ 95,45","0,84","0,87%","-0,21%","0,65%","7,15%","11,30%","11,30%",3
46,RECR11,Títulos e Val. Mob.,"R$ 99,78",73811.0,"R$ 1,46","1,44%","3,72%","6,86%","13,25%","1,24%","1,14%","1,10%","13,25%","2,83%","4,31%","3,31%","R$ 2.312.002.560,52","R$ 95,31","1,05","1,24%","0,13%","1,37%","13,03%",N/A,N/A,0
47,GTLG11,,"R$ 100,07",36.0,"R$ 0,70","0,70%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,40%","-0,48%","0,22%","0,92%","R$ 711.152.630,95","R$ 99,14","1,01","0,71%","-0,88%","-0,18%","1,16%",N/A,N/A,0
48,BLCA11,Lajes Corporativas,"R$ 100,00",5.0,"R$ 0,53","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 160.740.969,06","R$ 100,46","1,00",N/A,N/A,N/A,N/A,"0,00%",N/A,1
49,CPFF11,Híbrido,"R$ 69,98",9176.0,"R$ 0,61","0,87%","2,23%","5,01%","10,75%","0,74%","0,83%","0,90%","10,75%","-0,74%","0,13%","-8,28%","R$ 412.802.106,88","R$ 75,75","0,92","0,61%","-2,17%","-1,57%","-1,62%",N/A,N/A,0
50,RVBI11,Títulos e Val. Mob.,"R$ 83,38",2518.0,"R$ 0,75","0,90%","2,80%","5,31%","9,92%","0,93%","0,89%","0,83%","9,92%","1,50%","2,41%","-4,29%","R$ 122.122.993,19","R$ 84,81","0,98","0,88%","-4,03%","-3,18%","-4,39%",N/A,N/A,0
51,CVBI11,Títulos e Val. Mob.,"R$ 102,60",34483.0,"R$ 1,12","1,09%","3,31%","6,31%","12,24%","1,10%","1,05%","1,02%","12,24%","1,58%","2,69%","6,90%","R$ 991.128.530,91","R$ 99,94","1,03","1,12%","-0,14%","0,97%","12,18%",N/A,N/A,0
52,ATSA11,Shoppings,"R$ 95,00",2.0,"R$ 0,25","0,18%","0,59%","1,30%","2,97%","0,20%","0,22%","0,25%","0,37%","0,74%","0,92%","1,10%","R$ 171.921.865,51","R$ 98,18","0,97",N/A,N/A,N/A,N/A,"21,40%",N/A,1
53,XPHT11,Hotel,"R$ 91,00",12.0,"R$ 0,34","0,40%","1,05%","2,23%","0,00%","0,35%","0,37%","0,00%","1,05%","-18,27%","-17,94%","-16,89%","R$ 330.559.770,32","R$ 86,88","1,05",N/A,N/A,N/A,N/A,"57,20%",N/A,5
54,HTMX11,Hotel,"R$ 87,50",1616.0,"R$ 0,00","0,00%","0,80%","2,20%","5,41%","0,27%","0,37%","0,45%","0,80%","-28,14%","-28,14%","-32,26%","R$ 163.878.952,06","R$ 130,37","0,67",N/A,N/A,N/A,N/A,"44,00%",N/A,23
55,GSFI11,Shoppings,"R$ 4,32",118053.0,"R$ 0,00","0,03%","0,03%","0,03%","0,03%","0,01%","0,00%","0,00%","0,03%","0,00%","0,03%","0,03%","R$ 901.702.134,45","R$ 13,17","0,33",N/A,N/A,N/A,N/A,"9,80%",N/A,10
56,NEWU11,Lajes Corporativas,"R$ 30,90",31.0,"R$ 0,00","0,00%","0,00%","0,56%","16,63%","0,00%","0,09%","1,39%","0,61%","-4,04%","-4,04%","-31,62%","R$ 45.627.697,52","R$ 61,49","0,50",N/A,N/A,N/A,N/A,"63,20%",N/A,3
57,PRSV11,Lajes Corporativas,"R$ 112,03",5.0,"R$ 1,62","0,42%","1,53%","2,91%","5,95%","0,51%","0,48%","0,50%","4,46%","5,30%","5,74%","-11,25%","R$ 47.090.041,04","R$ 241,49","0,46",N/A,N/A,N/A,N/A,"40,90%",N/A,2
58,FAMB11B,Lajes Corporativas,"R$ 975,00",214.0,"R$ 9,16","0,56%","2,17%","4,78%","10,43%","0,72%","0,80%","0,87%","8,82%","-47,80%","-47,51%","-47,80%","R$ 360.414.709,44","R$ 3.439,07","0,28",N/A,N/A,N/A,N/A,"100,00%",N/A,1
59,FMOF11,Lajes Corporativas,"R$ 67,23",1.0,"R$ 0,64",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 66.970.633,80","R$ 131,83","0,51",N/A,N/A,N/A,N/A,"50,00%",N/A,1
60,RBDS11,Residencial,"R$ 9,47",3.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 3.258.445,22","R$ 25,75","0,37",N/A,N/A,N/A,N/A,N/A,N/A,0
61,KNRE11,Residencial,"R$ 1,67",4183.0,"R$ 0,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 36.692.023,18","R$ 1,98","0,84",N/A,N/A,N/A,N/A,N/A,N/A,0
62,VXXV11,Outros,"R$ 863,00",3400.0,"R$ 10,76",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 120.962.305,10","R$ 684,26","1,26",N/A,N/A,N/A,N/A,N/A,N/A,0
63,HRDF11,Híbrido,"R$ 1,29",625.0,"R$ 6,80",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 9.430.355,64","R$ 1,24","1,04",N/A,N/A,N/A,N/A,N/A,N/A,0
64,CJCT11,Lajes Corporativas,"R$ 69,00",224.0,"R$ 0,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 185.921.044,93","R$ 64,78","1,07",N/A,N/A,N/A,N/A,"59,00%",N/A,1
65,BPML11,Shoppings,"R$ 73,10",60.0,"R$ 0,61",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 573.237.489,83","R$ 133,15","0,55",N/A,N/A,N/A,N/A,"5,50%",N/A,7
66,LFTT11,Residencial,"R$ 109,98",14.0,"R$ 0,75",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 428.081.221,15","R$ 60,94","1,80",N/A,N/A,N/A,N/A,N/A,N/A,0
67,HCRI11,Hospital,"R$ 345,00",149.0,"R$ 3,08","0,80%","2,42%","4,72%","8,86%","0,81%","0,79%","0,74%","8,86%","0,00%","0,80%","-15,24%","R$ 59.886.299,64","R$ 299,43","1,15","0,85%","0,10%","0,94%","6,62%","0,00%",N/A,1
68,DRIT11B,Lajes Corporativas,"R$ 89,87",12.0,"R$ 0,33","0,28%","0,80%","0,00%","0,00%","0,27%","0,00%","0,00%","1,28%","5,78%","6,07%","-7,42%","R$ 60.773.474,43","R$ 131,18","0,69",N/A,N/A,N/A,N/A,"15,68%",N/A,6
69,CTXT11,Lajes Corporativas,"R$ 17,99",264.0,"R$ 0,09","0,39%","0,78%","1,36%","5,53%","0,26%","0,23%","0,46%","1,36%","-2,58%","-2,20%","-39,31%","R$ 113.108.757,92","R$ 43,60","0,41",N/A,N/A,N/A,N/A,"97,00%",N/A,1
70,GESE11B,Outros,"R$ 1.520,00",300.0,"R$ 12,60","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 86.162.938,46","R$ 1.656,98","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
71,RBIR11,Residencial,"R$ 73,99",36.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 146.658.316,94","R$ 95,94","0,77",N/A,N/A,N/A,N/A,N/A,N/A,0
72,CARE11,Híbrido,"R$ 1,83",35312.0,"R$ 0,00","0,23%","0,66%","1,36%","1,60%","0,22%","0,23%","0,13%","1,36%","-2,63%","-2,41%","5,65%","R$ 284.911.633,61","R$ 1,59","1,15",N/A,N/A,N/A,N/A,N/A,N/A,0
73,YUFI11B,Residencial,N/A,N/A,"R$ 0,43","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 37.579.975,83","R$ 95,10",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
74,MGLG11,Logística,"R$ 52,83",2794.0,"R$ 0,63","0,93%","2,29%","0,00%","0,00%","0,76%","0,00%","0,00%","2,29%","-24,84%","-24,14%","-30,37%","R$ 113.393.396,88","R$ 98,20","0,54",N/A,N/A,N/A,N/A,"0,00%",N/A,3
75,VJFD11,Híbrido,N/A,N/A,"R$ 0,86","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 518.565.114,98","R$ 106,35",N/A,"0,81%","0,04%","0,85%","2,61%",N/A,N/A,0
76,RMAI11,Lajes Corporativas,"R$ 46,00",210.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","4,35%","4,35%","-10,00%","R$ 269.267.795,14","R$ 110,18","0,42",N/A,N/A,N/A,N/A,"23,44%",N/A,1
77,IRDM11,Títulos e Val. Mob.,"R$ 107,80",69103.0,"R$ 1,13","1,08%","3,27%","5,99%","11,53%","1,09%","1,00%","0,96%","10,40%","-3,57%","-2,52%","-21,16%","R$ 2.692.489.672,14","R$ 96,16","1,12","1,17%","-0,79%","0,37%","9,87%",N/A,N/A,0
78,IRIM11,Híbrido,"R$ 113,00",332.0,"R$ 1,39","1,23%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,50%","-0,35%","0,88%","2,16%","R$ 129.732.965,13","R$ 99,79","1,13","1,39%","-1,30%","0,08%","3,33%",N/A,N/A,0
79,RBRY11,Títulos e Val. Mob.,"R$ 103,98",17773.0,"R$ 1,12","1,09%","2,93%","5,49%","9,87%","0,98%","0,91%","0,82%","8,96%","0,49%","1,58%","5,54%","R$ 353.780.750,14","R$ 104,14","1,00","1,08%","0,71%","1,79%","4,75%",N/A,N/A,0
80,RBRR11,Títulos e Val. Mob.,"R$ 98,80",24734.0,"R$ 0,90","0,92%","2,77%","5,33%","9,42%","0,92%","0,89%","0,79%","8,79%","0,39%","1,32%","10,54%","R$ 1.052.526.047,54","R$ 101,57","0,97","0,89%","1,88%","2,78%","7,25%",N/A,N/A,0
81,IBFF11,Títulos e Val. Mob.,"R$ 59,79",642.0,"R$ 0,52","0,87%","2,53%","4,79%","8,02%","0,84%","0,80%","0,67%","7,58%","-0,27%","0,60%","-18,62%","R$ 46.653.436,14","R$ 69,98","0,85","0,74%","-5,03%","-4,32%","-13,18%",N/A,N/A,0
82,RBRF11,Títulos e Val. Mob.,"R$ 73,50",31138.0,"R$ 0,60","0,84%","2,45%","4,70%","8,82%","0,82%","0,78%","0,73%","7,93%","1,23%","2,08%","-22,11%","R$ 1.126.170.984,40","R$ 82,32","0,89","0,73%","-2,34%","-1,63%","-2,22%",N/A,N/A,0
83,IBCR11,Títulos e Val. Mob.,"R$ 96,99",4337.0,"R$ 1,50","1,57%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","3,17%","1,94%","3,54%","5,20%","R$ 80.175.362,24","R$ 99,85","0,97","1,50%","1,62%","3,15%","5,81%",N/A,N/A,0
84,MGHT11,Hotel,"R$ 89,74",164.0,"R$ 0,80","0,95%","2,46%","4,45%","8,51%","0,82%","0,74%","0,71%","7,93%","-7,69%","-6,81%","-9,09%","R$ 131.567.014,50","R$ 100,14","0,90","0,80%","2,17%","2,99%","5,16%",N/A,N/A,0
85,MCHF11,Títulos e Val. Mob.,"R$ 10,03",15399.0,"R$ 0,12","1,19%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,17%","-1,08%","0,10%","1,08%","R$ 78.592.177,52","R$ 9,46","1,06","1,27%","-12,83%","-11,73%","-2,27%",N/A,N/A,0
86,VGIP11,Outros,"R$ 102,40",51090.0,"R$ 1,55","1,58%","4,14%","7,17%","13,22%","1,38%","1,19%","1,10%","11,84%","-1,19%","0,37%","-3,67%","R$ 715.092.271,19","R$ 97,27","1,05","1,59%","1,62%","3,24%","11,13%",N/A,N/A,0
87,MCCI11,Títulos e Val. Mob.,"R$ 102,66",33093.0,"R$ 1,00","0,98%","2,96%","5,89%","10,06%","0,99%","0,98%","0,84%","9,48%","1,64%","2,64%","8,77%","R$ 1.273.722.037,22","R$ 102,58","1,00","0,97%","1,41%","2,40%","7,22%",N/A,N/A,0
88,VGIR11,Títulos e Val. Mob.,"R$ 99,70",14397.0,"R$ 0,80","0,82%","2,19%","4,29%","7,51%","0,73%","0,72%","0,63%","6,92%","-0,91%","-0,09%","17,83%","R$ 438.106.848,72","R$ 97,22","1,03","0,82%","0,09%","0,91%","4,18%",N/A,N/A,0
89,CPTS11,Títulos e Val. Mob.,"R$ 97,32",70100.0,"R$ 1,00","1,02%","3,05%","6,06%","12,11%","1,02%","1,01%","1,01%","11,13%","-0,08%","0,94%","6,10%","R$ 2.650.260.334,39","R$ 94,74","1,03","1,06%","1,13%","2,20%","7,93%",N/A,N/A,0
90,GCFF11,Títulos e Val. Mob.,"R$ 76,00",2140.0,"R$ 0,70","0,95%","2,72%","5,18%","10,44%","0,91%","0,86%","0,87%","9,76%","-0,77%","0,18%","-13,71%","R$ 28.941.459,49","R$ 85,47","0,89","0,82%","-3,39%","-2,60%","-3,74%",N/A,N/A,0
91,NAVT11,Títulos e Val. Mob.,"R$ 73,24",2299.0,"R$ 0,60","0,83%","2,50%","4,47%","0,00%","0,83%","0,75%","0,00%","5,12%","0,49%","1,33%","-17,46%","R$ 91.957.610,20","R$ 87,20","0,84","0,69%","-3,01%","-2,34%","-4,26%",N/A,N/A,0
