,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
168,RNGO11,Lajes Corporativas,"R$ 49,67",2862.0,"R$ 0,35","0,66%","1,96%","3,72%","7,31%","0,65%","0,62%","0,61%","7,31%","3,86%","4,55%","-19,06%","R$ 234.005.032,84","R$ 87,45","0,57",N/A,N/A,N/A,N/A,"24,00%",N/A,3
169,FVPQ11,Shoppings,"R$ 105,43",1815.0,"R$ 0,75","0,69%","1,54%","2,88%","5,41%","0,51%","0,48%","0,45%","4,57%","1,21%","1,90%","-10,25%","R$ 554.337.596,32","R$ 197,97","0,53","0,30%","0,84%","1,15%","2,23%","5,50%",N/A,1
170,XPCM11,Lajes Corporativas,"R$ 19,01",5173.0,"R$ 0,11","0,49%","2,43%","4,43%","9,82%","0,81%","0,74%","0,82%","9,82%","12,84%","13,40%","-57,93%","R$ 132.802.297,76","R$ 55,00","0,35",N/A,N/A,N/A,N/A,"100,00%",N/A,1
171,TRXF11,Outros,"R$ 101,05",13549.0,"R$ 0,90","0,89%","2,48%","4,55%","8,48%","0,83%","0,76%","0,71%","8,48%","3,40%","4,32%","3,17%","R$ 738.428.430,97","R$ 101,93","0,99",N/A,N/A,N/A,N/A,"0,00%",N/A,44
172,NSLU11,Hospital,"R$ 220,32",494.0,"R$ 1,96","0,82%","2,66%","5,10%","9,27%","0,89%","0,85%","0,77%","8,71%","12,22%","13,14%","-5,27%","R$ 244.408.065,59","R$ 213,49","1,03","0,92%","0,00%","0,92%","7,29%","0,00%",N/A,1
173,EVBI11,Híbrido,"R$ 95,99",43.0,"R$ 0,75","0,78%","2,08%","4,03%","0,00%","0,69%","0,67%","0,00%","6,46%","-2,04%","-1,28%","2,38%","R$ 140.392.080,47","R$ 13,35","7,19",N/A,N/A,N/A,N/A,"0,00%",N/A,2
174,FIIB11,Híbrido,"R$ 452,02",596.0,"R$ 3,70","0,80%","2,30%","4,34%","8,14%","0,77%","0,72%","0,68%","7,60%","6,42%","7,27%","-5,03%","R$ 313.595.503,14","R$ 457,80","0,99",N/A,N/A,N/A,N/A,"6,28%",N/A,1
175,HGCR11,Títulos e Val. Mob.,"R$ 107,72",18495.0,"R$ 1,25","1,18%","2,96%","5,27%","9,84%","0,99%","0,88%","0,82%","9,84%","3,20%","4,42%","12,36%","R$ 1.266.260.106,77","R$ 102,35","1,05","0,93%","0,95%","1,88%","5,68%",N/A,N/A,0
176,HGRE11,Lajes Corporativas,"R$ 136,50",27043.0,"R$ 2,75","2,02%","3,14%","4,68%","8,13%","1,05%","0,78%","0,68%","8,13%","13,43%","15,72%","-1,62%","R$ 1.949.751.010,85","R$ 164,98","0,83",N/A,N/A,N/A,N/A,"23,93%","26,71%",21
177,HGLG11,Logística,"R$ 172,95",34292.0,"R$ 1,75","1,03%","2,37%","4,37%","8,02%","0,79%","0,73%","0,67%","8,02%","6,60%","7,69%","2,84%","R$ 3.156.088.176,65","R$ 148,08","1,17",N/A,N/A,N/A,N/A,"7,90%","6,60%",17
178,KNSC11,Títulos e Val. Mob.,"R$ 100,00",45531.0,"R$ 1,45","1,44%","4,19%","7,57%","13,46%","1,40%","1,26%","1,12%","13,46%","4,06%","5,55%","11,35%","R$ 718.051.475,99","R$ 90,47","1,11",N/A,N/A,N/A,N/A,N/A,N/A,0
179,KNHY11,Títulos e Val. Mob.,"R$ 106,96",19801.0,"R$ 1,50","1,37%","4,09%","7,40%","13,75%","1,36%","1,23%","1,15%","13,75%","3,47%","4,89%","11,37%","R$ 1.420.712.754,91","R$ 99,41","1,08",N/A,N/A,N/A,N/A,N/A,N/A,0
180,KNIP11,Títulos e Val. Mob.,"R$ 103,37",123680.0,"R$ 1,50","1,43%","4,26%","7,53%","13,50%","1,42%","1,25%","1,13%","13,50%","2,72%","4,19%","5,76%","R$ 7.061.331.137,79","R$ 99,27","1,04",N/A,N/A,N/A,N/A,N/A,N/A,0
181,VCJR11,Títulos e Val. Mob.,"R$ 98,20",26240.0,"R$ 1,55","1,57%","4,32%","7,63%","11,88%","1,44%","1,27%","0,99%","11,88%","2,86%","4,47%","5,56%","R$ 1.108.573.860,66","R$ 95,53","1,03",N/A,N/A,N/A,N/A,N/A,N/A,0
182,HFOF11,Títulos e Val. Mob.,"R$ 80,40",8153.0,"R$ 0,60","0,73%","2,23%","4,25%","7,70%","0,74%","0,71%","0,64%","7,70%","4,59%","5,36%","-15,04%","R$ 1.897.056.709,57","R$ 82,57","0,97","0,73%","-5,25%","-4,56%","-8,23%",N/A,N/A,0
183,HLOG11,Logística,"R$ 93,94",2446.0,"R$ 0,63","0,66%","1,93%","3,68%","6,94%","0,64%","0,61%","0,58%","6,94%","-1,28%","-0,62%","-14,44%","R$ 483.225.708,31","R$ 113,70","0,83","0,55%","-0,47%","0,08%","-0,20%","4,00%",N/A,3
184,VRTA11,Títulos e Val. Mob.,"R$ 104,99",41344.0,"R$ 1,19","1,14%","3,48%","6,38%","11,36%","1,16%","1,06%","0,95%","11,36%","2,98%","4,16%","1,40%","R$ 1.057.669.059,51","R$ 97,03","1,08",N/A,N/A,N/A,N/A,N/A,N/A,0
185,HPDP11,Shoppings,"R$ 87,00",1.0,"R$ 0,50","0,63%","1,64%","2,84%","4,02%","0,55%","0,47%","0,33%","4,02%","1,48%","2,12%","-4,40%","R$ 279.695.516,53","R$ 96,15","0,90","0,42%","0,07%","0,49%","2,68%","1,80%",N/A,1
186,JFLL11,Residencial,"R$ 73,01",1192.0,"R$ 0,62","0,81%","2,57%","4,84%","0,00%","0,86%","0,81%","0,00%","8,22%","14,94%","15,87%","-16,43%","R$ 149.192.045,36","R$ 99,42","0,73",N/A,N/A,N/A,N/A,"29,00%",N/A,2
187,RBRS11,Híbrido,"R$ 66,87",107.0,"R$ 0,42","0,65%","1,89%","3,65%","6,65%","0,63%","0,61%","0,55%","6,65%","-0,03%","0,62%","-25,35%","R$ 129.844.879,35","R$ 93,45","0,72",N/A,N/A,N/A,N/A,N/A,N/A,0
188,BCRI11,Títulos e Val. Mob.,"R$ 109,00",11544.0,"R$ 1,35","1,25%","3,40%","6,33%","12,79%","1,13%","1,05%","1,07%","12,79%","3,88%","5,18%","3,65%","R$ 667.242.431,60","R$ 106,62","1,02",N/A,N/A,N/A,N/A,N/A,N/A,0
189,NVIF11B,Outros,N/A,N/A,"R$ 1,33","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 60.762.463,20","R$ 180,09",N/A,"0,74%","1,90%","2,66%","2,82%",N/A,N/A,0
190,VINO11,Lajes Corporativas,"R$ 54,42",49187.0,"R$ 0,50","0,88%","2,76%","5,58%","9,98%","0,92%","0,93%","0,83%","9,98%","2,13%","3,03%","-1,83%","R$ 699.302.246,47","R$ 55,18","0,99",N/A,N/A,N/A,N/A,"7,90%",N/A,9
191,VILG11,Logística,"R$ 106,00",41500.0,"R$ 0,70","0,66%","2,02%","3,75%","6,57%","0,67%","0,62%","0,55%","6,57%","19,64%","20,44%","-6,86%","R$ 1.712.192.304,32","R$ 114,17","0,93",N/A,N/A,N/A,N/A,"0,00%",N/A,16
192,PORD11,Títulos e Val. Mob.,"R$ 94,11",7713.0,"R$ 1,08","1,12%","3,33%","6,05%","11,32%","1,11%","1,01%","0,94%","11,32%","5,12%","6,31%","3,85%","R$ 370.483.839,84","R$ 99,37","0,95",N/A,N/A,N/A,N/A,N/A,N/A,0
193,XPCA11,Títulos e Val. Mob.,"R$ 9,84",36894.0,"R$ 0,08","0,83%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,83%","0,00%","0,83%","0,83%","R$ 134.714.550,47","R$ 9,56","1,03",N/A,N/A,N/A,N/A,N/A,N/A,0
194,HSRE11,Híbrido,"R$ 100,00",1.0,"R$ 0,87","0,88%","2,03%","3,72%","0,00%","0,68%","0,62%","0,00%","4,28%","1,54%","2,43%","5,42%","R$ 827.718.748,36","R$ 97,17","1,03",N/A,N/A,N/A,N/A,"0,00%",N/A,29
195,HSLG11,Logística,"R$ 94,00",3885.0,"R$ 0,58","0,60%","2,01%","3,84%","7,05%","0,67%","0,64%","0,59%","7,05%","21,82%","22,55%","-9,45%","R$ 1.428.239.437,19","R$ 112,81","0,83",N/A,N/A,N/A,N/A,"4,70%",N/A,5
196,HSAF11,Títulos e Val. Mob.,"R$ 93,04",3094.0,"R$ 1,00","1,06%","3,38%","6,24%","12,37%","1,13%","1,04%","1,03%","12,37%","5,98%","7,10%","13,88%","R$ 170.274.904,76","R$ 96,00","0,97",N/A,N/A,N/A,N/A,N/A,N/A,0
197,LUGG11,Residencial,"R$ 85,60",237.0,"R$ 0,57","0,65%","1,83%","3,42%","6,61%","0,61%","0,57%","0,55%","6,61%","4,44%","5,12%","-6,53%","R$ 112.474.520,83","R$ 124,97","0,68",N/A,N/A,N/A,N/A,"2,00%",N/A,4
198,IDFI11,Híbrido,"R$ 102,00",69.0,"R$ 1,69","1,66%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","3,58%","0,00%","1,66%","3,61%","R$ 208.595.695,44","R$ 101,36","1,01",N/A,N/A,N/A,N/A,N/A,N/A,0
199,RBCO11,Lajes Corporativas,"R$ 56,90",1947.0,"R$ 0,41","0,73%","2,36%","4,57%","8,40%","0,79%","0,76%","0,70%","8,40%","7,19%","7,98%","-28,07%","R$ 380.191.685,75","R$ 100,61","0,57","0,41%","-0,06%","0,35%","2,21%","42,00%","40,00%",4
200,QIRI11,Títulos e Val. Mob.,"R$ 89,99",10.0,"R$ 0,67","0,74%","2,08%","3,69%","7,84%","0,69%","0,62%","0,65%","7,84%","4,60%","5,37%","-2,54%","R$ 13.503.706,62","R$ 90,02","1,00",N/A,N/A,N/A,N/A,N/A,N/A,0
201,MFII11,Híbrido,"R$ 109,49",3579.0,"R$ 1,25","1,11%","3,39%","6,47%","11,20%","1,13%","1,08%","0,93%","11,20%","7,53%","8,73%","-5,66%","R$ 417.300.264,11","R$ 100,63","1,09",N/A,N/A,N/A,N/A,N/A,N/A,9
202,VCRR11,Residencial,"R$ 83,00",60.0,"R$ 0,67","0,85%","2,66%","0,00%","0,00%","0,89%","0,00%","0,00%","4,98%","13,13%","14,09%","-6,79%","R$ 239.192.558,80","R$ 119,60","0,69",N/A,N/A,N/A,N/A,N/A,N/A,0
203,FIIP11B,Logística,"R$ 164,50",1028.0,"R$ 1,30","0,73%","2,26%","4,37%","7,96%","0,75%","0,73%","0,66%","7,96%","10,71%","11,52%","-6,47%","R$ 185.759.454,51","R$ 200,35","0,82",N/A,N/A,N/A,N/A,"0,00%",N/A,7
204,PLRI11,Títulos e Val. Mob.,"R$ 38,27",16.0,"R$ 0,20","0,52%","1,37%","2,97%","6,23%","0,46%","0,50%","0,52%","6,23%","-2,53%","-2,02%","-12,58%","R$ 41.384.472,49","R$ 43,37","0,88",N/A,N/A,N/A,N/A,N/A,N/A,0
205,RBHY11,Títulos e Val. Mob.,"R$ 102,20",2739.0,"R$ 1,98","1,94%","5,02%","7,66%","0,00%","1,67%","1,28%","0,00%","8,88%","1,49%","3,46%","8,59%","R$ 153.973.051,71","R$ 0,93","109,76",N/A,N/A,N/A,N/A,N/A,N/A,0
206,BBIM11,Títulos e Val. Mob.,N/A,N/A,"R$ 0,90","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 49.542.596,08","R$ 47,87",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
207,EDFO11B,Lajes Corporativas,"R$ 219,00",11.0,"R$ 1,52","0,71%","2,07%","3,67%","7,02%","0,69%","0,61%","0,58%","7,02%","-4,01%","-3,33%","-7,82%","R$ 45.622.746,90","R$ 193,32","1,13",N/A,N/A,N/A,N/A,"7,10%",N/A,1
208,VTLT11,Logística,"R$ 93,40",5927.0,"R$ 0,75","0,78%","2,35%","4,62%","8,69%","0,78%","0,77%","0,72%","8,69%","3,72%","4,53%","-10,00%","R$ 218.154.340,14","R$ 103,15","0,91",N/A,N/A,N/A,N/A,"0,00%","0,00%",1
209,GTWR11,Lajes Corporativas,"R$ 84,78",5394.0,"R$ 0,74","0,83%","2,62%","4,73%","8,52%","0,87%","0,79%","0,71%","8,52%","24,23%","25,26%","-10,18%","R$ 1.181.864.977,66","R$ 98,49","0,86",N/A,N/A,N/A,N/A,"0,00%","0,00%",1
210,HREC11,Títulos e Val. Mob.,"R$ 97,84",6.0,"R$ 1,00","1,02%","2,92%","5,04%","9,45%","0,97%","0,84%","0,79%","9,45%","1,33%","2,36%","4,55%","R$ 268.066.448,77","R$ 94,19","1,04","1,11%","2,60%","3,75%","1,59%",N/A,N/A,0
211,KINP11,Residencial,"R$ 13,43",21.0,"R$ 0,18","1,35%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,35%","0,00%","1,35%","1,35%","R$ 52.276.733,66","R$ 7,31","1,84",N/A,N/A,N/A,N/A,N/A,N/A,0
212,WPLZ11,Shoppings,"R$ 70,00",212.0,"R$ 0,37","0,52%","1,47%","1,61%","0,00%","0,49%","0,27%","0,00%","1,61%","10,74%","11,32%","7,98%","R$ 106.084.879,47","R$ 103,93","0,67","0,34%","0,25%","0,58%","1,55%","12,10%",N/A,1
213,PLCR11,Híbrido,"R$ 89,50",8048.0,"R$ 1,05","1,13%","3,35%","6,22%","11,55%","1,12%","1,04%","0,96%","11,55%","12,84%","14,11%","10,23%","R$ 195.407.902,15","R$ 92,65","0,97","1,08%","1,40%","2,50%","2,38%",N/A,N/A,0
214,BBFI11B,Lajes Corporativas,"R$ 2.251,02",175.0,"R$ 38,64","1,66%","4,13%","7,44%","14,29%","1,38%","1,24%","1,19%","14,29%","17,45%","19,40%","18,42%","R$ 330.558.622,04","R$ 2.542,76","0,89","1,02%","0,22%","1,24%","10,61%","40,44%",N/A,2
215,SARE11,Híbrido,"R$ 70,19",10325.0,"R$ 0,65","0,92%","2,71%","4,84%","8,62%","0,90%","0,81%","0,72%","8,62%","15,17%","16,23%","-19,02%","R$ 917.117.685,29","R$ 99,32","0,71",N/A,N/A,N/A,N/A,"2,10%",N/A,3
216,RDPD11,Títulos e Val. Mob.,"R$ 55,02",42.0,"R$ 0,47","0,80%","2,44%","4,64%","8,23%","0,81%","0,77%","0,69%","8,23%","2,79%","3,62%","-25,10%","R$ 64.314.048,67","R$ 59,66","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
217,SADI11,Títulos e Val. Mob.,"R$ 86,97",2518.0,"R$ 0,77","0,83%","2,15%","3,72%","5,39%","0,72%","0,62%","0,45%","5,39%","11,15%","12,07%","27,10%","R$ 320.438.489,55","R$ 100,76","0,86",N/A,N/A,N/A,N/A,N/A,N/A,0
218,MALL11,Shoppings,"R$ 97,09",12208.0,"R$ 0,65","0,67%","2,07%","3,78%","6,83%","0,69%","0,63%","0,57%","6,83%","15,24%","16,02%","-2,20%","R$ 782.933.433,25","R$ 103,56","0,94","0,60%","-0,25%","0,35%","2,77%","2,00%",N/A,7
219,HSML11,Shoppings,"R$ 78,66",24601.0,"R$ 0,52","0,64%","2,05%","3,90%","6,10%","0,68%","0,65%","0,51%","6,10%","16,41%","17,15%","-11,33%","R$ 1.508.445.585,89","R$ 95,59","0,82",N/A,N/A,N/A,N/A,"4,80%",N/A,5
220,KNRI11,Híbrido,"R$ 136,20",30307.0,"R$ 0,88","0,62%","1,79%","3,32%","6,08%","0,60%","0,55%","0,51%","6,08%","11,18%","11,87%","-5,66%","R$ 3.811.917.192,28","R$ 157,80","0,86",N/A,N/A,N/A,N/A,"3,27%","7,87%",20
221,KNRI11,Híbrido,"R$ 136,20",30307.0,"R$ 0,88","0,62%","1,79%","3,32%","6,08%","0,60%","0,55%","0,51%","6,08%","11,18%","11,87%","-5,66%","R$ 3.811.917.192,28","R$ 157,80","0,86",N/A,N/A,N/A,N/A,"3,19%","7,69%",20
222,XPLG11,Logística,"R$ 100,85",41217.0,"R$ 0,64","0,63%","1,98%","3,74%","6,84%","0,66%","0,62%","0,57%","6,84%","12,74%","13,44%","-9,62%","R$ 2.972.040.961,71","R$ 109,67","0,92",N/A,N/A,N/A,N/A,"9,80%","1,20%",13
223,RZAG11,Títulos e Val. Mob.,"R$ 9,98",101163.0,"R$ 0,08","0,85%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,85%","0,00%","0,85%","0,85%","R$ 288.959.863,82","R$ 9,52","1,05","0,74%","-0,29%","0,44%","0,44%",N/A,N/A,0
